iter	value
5000	16.5
10000	23.23
15000	27.04
20000	32.15
25000	34.62
30000	36.86
35000	40.11
40000	43.14
45000	46.36
50000	50.42
55000	53.01
60000	55.21
65000	58.77
70000	61.97
75000	64.02
80000	66.38
100000	74.55
120000	79.72
140000	85.71
160000	90.15
180000	96.27
200000	101.98
220000	108.92
240000	116.96
260000	123.65
280000	127.64
300000	135.74
320000	140.1
340000	142.27
360000	145.28
380000	147.73
480000	163.5
580000	175.83
680000	185.21
780000	196.0
880000	205.56
1000000	215.07
1200000	234.42
1400000	247.95
1600000	262.79
1800000	273.71
2000000	286.19
2200000	298.17
2400000	322.24
2600000	363.58
2800000	389.0
3000000	409.82
3200000	431.12
3400000	448.09
3600000	463.86
3800000	477.74
4000000	486.52
4200000	490.73
4400000	497.51
