iter	value
5000	1.51
10000	2.05
15000	2.24
20000	2.41
25000	2.5
30000	2.51
35000	2.58
40000	2.75
45000	2.92
50000	3.0
55000	3.15
60000	3.22
65000	3.37
70000	3.52
75000	3.83
80000	3.93
100000	4.43
120000	5.23
140000	5.52
160000	5.74
180000	5.8
200000	6.01
220000	6.33
240000	6.6
260000	6.99
280000	7.24
300000	7.33
320000	7.47
340000	7.72
360000	7.83
380000	8.2
480000	8.87
580000	9.67
680000	10.65
780000	11.78
880000	12.33
1000000	13.81
1200000	15.17
1400000	16.52
1600000	17.34
1800000	18.58
2000000	19.23
2200000	20.19
2400000	20.74
2600000	21.32
2800000	22.04
3000000	22.65
