iter	value
5000	11.97
10000	11.43
15000	11.68
20000	12.24
25000	12.89
30000	12.95
35000	13.13
40000	12.84
45000	13.12
50000	13.38
55000	13.49
60000	13.69
65000	13.77
70000	13.97
75000	13.69
80000	13.93
100000	14.71
120000	15.94
140000	16.91
160000	18.17
180000	19.28
200000	19.12
220000	19.58
240000	19.58
260000	19.18
280000	19.24
300000	19.37
320000	19.84
340000	20.31
360000	20.57
380000	20.68
480000	21.2
580000	22.53
680000	24.37
780000	26.4
880000	27.35
1000000	28.36
1200000	34.84
1400000	42.6
1600000	46.96
1800000	51.51
2000000	57.41
2200000	62.97
2400000	68.48
2600000	71.85
2800000	75.26
3000000	76.78
3200000	77.37
3400000	83.59
3600000	86.98
3800000	92.94
4000000	96.71
4200000	98.07
4400000	99.95
4600000	102.24
4800000	105.83
5000000	108.93
5200000	111.52
5400000	113.65
5600000	115.24
5800000	116.72
