iter	value
5000	0.65
10000	0.66
15000	0.65
20000	0.6
25000	0.61
30000	0.6
35000	0.59
40000	0.57
45000	0.55
50000	0.51
55000	0.5
60000	0.48
65000	0.46
70000	0.46
75000	0.49
80000	0.49
100000	0.49
120000	0.49
140000	0.48
160000	0.48
180000	0.5
200000	0.55
220000	0.53
240000	0.51
260000	0.52
280000	0.51
300000	0.48
320000	0.49
340000	0.49
360000	0.48
380000	0.47
480000	0.47
580000	0.46
680000	0.45
780000	0.46
880000	0.45
1000000	0.45
1200000	0.45
1400000	0.44
1600000	0.44
1800000	0.44
2000000	0.44
2200000	0.44
2400000	0.44
2600000	0.46
2800000	0.46
3000000	0.5
3200000	0.51
3400000	0.5
3600000	0.47
3800000	0.46
4000000	0.46
4200000	0.45
4400000	0.45
