iter	value
5000	0.81
10000	1.62
15000	1.65
20000	1.75
25000	1.78
30000	1.78
35000	1.78
40000	2.11
45000	2.26
50000	2.27
55000	2.22
60000	2.24
65000	2.34
70000	2.38
75000	3.19
80000	3.2
100000	3.58
120000	4.09
140000	4.13
160000	4.28
180000	4.33
200000	4.37
220000	4.44
240000	4.49
260000	4.56
280000	4.66
300000	4.73
320000	4.69
340000	4.79
360000	4.84
380000	5.08
480000	5.18
580000	5.47
680000	5.96
780000	6.88
880000	7.3
1000000	9.23
1200000	9.9
1400000	10.79
1600000	11.59
1800000	13.13
2000000	13.81
2200000	14.9
2400000	15.41
2600000	16.01
2800000	16.91
3000000	17.83
