iter	value
5000	13.01
10000	12.16
15000	12.76
20000	14.15
25000	15.11
30000	15.99
35000	16.56
40000	16.31
45000	17.11
50000	17.63
55000	18.01
60000	18.41
65000	18.82
70000	19.26
75000	18.14
80000	18.58
100000	20.42
120000	22.95
140000	24.37
160000	26.89
180000	29.26
200000	28.44
220000	29.48
240000	29.78
260000	27.5
280000	27.58
300000	27.33
320000	27.55
340000	27.78
360000	28.09
380000	28.35
480000	26.63
580000	27.07
680000	27.55
780000	29.03
880000	30.16
1000000	30.26
1200000	36.36
1400000	50.67
1600000	55.88
1800000	59.93
2000000	63.07
2200000	67.81
2400000	71.82
2600000	75.06
2800000	78.45
3000000	78.33
3200000	75.85
3400000	89.21
3600000	92.12
3800000	98.73
4000000	102.82
4200000	103.09
4400000	105.82
4600000	107.89
4800000	111.67
5000000	113.91
5200000	116.57
5400000	118.44
5600000	119.96
5800000	119.98
