iter	value
5000	0.54
10000	0.79
15000	0.86
20000	0.9
25000	0.9
30000	0.9
35000	0.87
40000	0.87
45000	0.87
50000	0.87
55000	0.86
60000	0.86
65000	0.81
70000	0.82
75000	0.88
80000	0.85
100000	0.82
120000	0.74
140000	0.71
160000	0.69
180000	0.69
200000	0.69
220000	0.69
240000	0.7
260000	0.71
280000	0.91
300000	0.91
320000	0.92
340000	0.91
360000	0.92
380000	0.9
480000	0.83
580000	0.75
680000	0.73
780000	0.74
880000	0.73
1000000	0.71
1200000	0.67
1400000	0.66
1600000	0.67
1800000	0.68
2000000	0.69
2200000	0.69
2400000	0.7
2600000	0.7
2800000	0.71
3000000	0.7
