iter	value
5000	102.99
10000	112.92
15000	121.88
20000	124.16
25000	129.92
30000	132.71
35000	138.25
40000	144.34
45000	145.44
50000	152.01
55000	153.8
60000	155.85
65000	159.23
70000	159.18
75000	162.29
80000	173.23
100000	177.68
120000	187.2
140000	191.41
160000	198.19
180000	202.83
200000	210.42
220000	221.76
240000	223.7
260000	226.47
280000	230.43
300000	231.55
320000	233.48
340000	240.67
360000	245.1
380000	251.1
480000	266.39
580000	278.52
680000	301.2
780000	308.72
880000	307.47
1000000	313.4
