iter	value
5000	19.02
10000	30.35
15000	39.47
20000	46.62
25000	51.13
30000	57.19
35000	62.84
40000	66.72
45000	71.21
50000	75.91
55000	79.52
60000	83.33
65000	86.86
70000	90.04
75000	92.17
80000	94.94
100000	109.33
120000	121.48
140000	129.26
160000	138.27
180000	144.5
200000	151.12
220000	157.1
240000	166.0
260000	170.35
280000	176.93
300000	182.74
320000	188.02
340000	192.16
360000	195.16
380000	198.99
480000	215.62
580000	231.71
680000	244.37
780000	252.77
880000	262.21
1000000	272.7
1200000	289.43
1400000	310.49
