iter	value
5000	1.65
10000	1.57
15000	1.54
20000	1.48
25000	1.46
30000	1.47
35000	1.43
40000	1.42
45000	1.42
50000	1.43
55000	1.39
60000	1.37
65000	1.36
70000	1.37
75000	1.35
80000	1.35
100000	1.32
120000	1.29
140000	1.24
160000	1.23
180000	1.2
200000	1.17
220000	1.15
240000	1.14
260000	1.16
280000	1.14
300000	1.1
320000	1.1
340000	1.1
360000	1.08
380000	1.05
480000	1.01
580000	1.17
680000	1.23
780000	1.2
880000	1.18
1000000	1.13
1200000	1.12
1400000	1.21
1600000	1.8
1800000	1.97
2000000	2.24
2200000	2.31
2400000	2.46
2600000	2.53
2800000	2.59
3000000	2.62
3200000	2.73
3400000	2.77
3600000	2.85
3800000	2.83
4000000	2.84
4200000	2.79
4400000	2.8
4600000	2.71
4800000	2.72
5000000	2.71
5200000	2.72
5400000	2.76
5600000	2.79
5800000	2.82
