iter	value
15000	23.26
20000	25.09
25000	27.72
30000	29.87
35000	31.62
40000	32.86
45000	33.01
50000	33.24
55000	34.2
60000	35.12
65000	37.17
70000	38.4
75000	41.87
80000	42.61
100000	48.26
120000	51.32
140000	52.85
160000	51.89
180000	59.02
200000	64.97
220000	66.58
240000	67.81
260000	76.46
280000	78.52
300000	79.92
320000	84.26
340000	85.34
360000	83.9
380000	84.94
480000	96.24
580000	100.28
680000	107.15
780000	114.09
880000	118.9
1000000	121.0
1200000	130.4
1400000	135.82
1600000	140.96
1800000	145.9
2000000	149.06
2200000	153.83
2400000	175.61
2600000	221.21
2800000	234.18
3000000	242.85
3200000	252.2
3400000	259.54
3600000	261.3
3800000	255.9
4000000	256.27
4200000	252.26
4400000	253.4
