iter	value
5000	8.98
10000	16.89
15000	19.29
20000	19.45
25000	20.8
30000	24.27
35000	28.75
40000	29.76
45000	32.67
50000	35.83
55000	37.72
60000	39.55
65000	42.44
70000	44.77
75000	46.97
80000	49.08
100000	68.48
120000	81.31
140000	91.85
160000	102.05
180000	107.81
200000	114.4
220000	118.44
240000	129.86
260000	133.25
280000	141.54
300000	147.61
320000	152.71
340000	156.82
360000	159.9
380000	162.53
480000	177.84
580000	190.59
680000	203.48
780000	211.93
880000	219.27
1000000	227.29
1200000	240.28
1400000	257.06
