t	s(t)
50	105.89655172413794
100	139.5287356321839
150	169.32183908045977
200	196.5287356321839
250	220.2528735632184
300	243.16091954022988
350	266.18390804597703
400	287.42528735632186
450	306.7586206896552
500	324.86206896551727
550	342.9425287356322
600	361.264367816092
650	378.4597701149425
700	395.9655172413793
750	411.71264367816093
800	428.08045977011494
850	444.2988505747126
900	459.42528735632186
950	473.9310344827586
1000	488.2758620689655
1050	502.2183908045977
1100	516.3678160919541
1150	529.8390804597701
1200	544.471264367816
1250	556.448275862069
1300	569.8505747126437
1350	583.1149425287356
1400	595.7701149425287
1450	608.0114942528736
1500	621.1379310344828
1550	634.0
1600	645.7816091954023
1650	658.1609195402299
1700	670.9655172413793
1750	682.3563218390805
1800	693.3793103448276
1850	705.1609195402299
1900	716.735632183908
1950	727.6551724137931
2000	739.1379310344828
2050	750.3678160919541
2100	760.8850574712644
2150	771.9080459770115
2200	781.8275862068965
2250	792.4942528735633
2300	802.080459770115
2350	812.8390804597701
2400	822.9770114942529
2450	832.1724137931035
2500	841.1034482758621
2550	850.6666666666666
2600	859.9770114942529
2650	870.6666666666666
2700	880.6091954022988
2750	889.6321839080459
2800	899.0689655172414
2850	907.6896551724138
2900	917.0344827586207
2950	926.8505747126437
3000	936.5402298850574
3050	946.0344827586207
3100	955.2068965517242
3150	963.2068965517242
3200	971.7011494252873
3250	981.7011494252873
3300	990.8620689655172
3350	999.6206896551724
3400	1008.3448275862069
3450	1017.9080459770115
3500	1027.4022988505747
3550	1035.1149425287356
3600	1044.2528735632184
3650	1052.7356321839081
3700	1060.4942528735633
3750	1068.6436781609195
3800	1077.1264367816093
3850	1084.9540229885058
3900	1092.712643678161
3950	1101.551724137931
4000	1110.0
4050	1118.3908045977012
4100	1126.3218390804598
4150	1134.4252873563219
4200	1143.2413793103449
4250	1151.4827586206898
4300	1159.5747126436781
4350	1167.7586206896551
4400	1175.551724137931
4450	1183.7931034482758
4500	1191.1379310344828
4550	1198.6781609195402
4600	1206.5862068965516
4650	1214.367816091954
4700	1222.103448275862
4750	1230.3563218390805
4800	1238.103448275862
4850	1245.471264367816
4900	1252.8620689655172
4950	1260.3793103448277
